word,start,end,score,speaker
that,215.831,216.853,0.98,SPEAKER_01
I,216.933,217.013,0.913,SPEAKER_01
just,217.073,217.254,0.987,SPEAKER_01
decided,217.294,217.674,0.864,SPEAKER_01
to,217.714,217.774,0.751,SPEAKER_01
turn,217.834,218.075,0.851,SPEAKER_01
to,218.095,218.155,0.786,SPEAKER_01
professionals.,218.215,218.896,0.891,SPEAKER_01
But,219.236,219.497,0.837,SPEAKER_01
the,219.537,219.998,0.96,SPEAKER_01
fact,220.038,220.298,0.836,SPEAKER_01
that,220.358,220.598,0.868,SPEAKER_01
I,220.638,220.799,0.628,SPEAKER_01
turned,220.859,221.079,0.842,SPEAKER_01
to,221.099,221.159,0.744,SPEAKER_01
"professionals,",221.219,222.041,0.861,SPEAKER_01
we,222.121,222.221,0.981,SPEAKER_01
made,222.261,222.401,0.851,SPEAKER_01
a,222.441,222.481,0.47,SPEAKER_01
lot,222.862,223.082,0.949,SPEAKER_01
of,223.122,223.162,0.654,SPEAKER_01
bad,223.182,223.342,0.631,SPEAKER_01
decisions.,223.362,224.404,0.85,SPEAKER_01
I,224.502,225.163,0.872,SPEAKER_02
understand,225.183,225.744,0.851,SPEAKER_02
and,225.824,225.904,0.861,SPEAKER_02
relate,225.944,226.325,0.779,SPEAKER_02
to,226.365,226.505,0.912,SPEAKER_02
the,226.605,226.686,0.985,SPEAKER_02
childhood,226.726,227.146,0.669,SPEAKER_02
"talk,",227.186,227.387,0.755,SPEAKER_02
because,227.407,227.547,0.0,SPEAKER_02
even,227.567,227.727,0.903,SPEAKER_02
for,227.807,227.928,0.701,SPEAKER_02
"me,",228.008,228.208,0.983,SPEAKER_02
it's,228.388,229.03,0.76,SPEAKER_02
hard,229.09,229.27,0.898,SPEAKER_02
to,229.29,229.35,0.75,SPEAKER_02
talk,229.39,229.57,0.792,SPEAKER_02
about,229.61,229.771,0.953,SPEAKER_02
some,229.791,229.911,0.832,SPEAKER_02
of,229.951,229.991,0.976,SPEAKER_02
the,230.031,230.091,0.999,SPEAKER_02
darkest,230.131,230.452,0.943,SPEAKER_02
times,230.492,230.772,0.795,SPEAKER_02
of,230.832,230.873,0.966,SPEAKER_02
my,230.933,231.033,0.982,SPEAKER_02
"childhood,",231.073,231.494,0.802,SPEAKER_02
because,231.514,231.754,0.834,SPEAKER_02
I,232.275,232.335,0.845,SPEAKER_02
know,232.435,232.615,0.797,SPEAKER_02
that,232.696,232.796,0.894,SPEAKER_02
you,232.856,233.036,0.821,SPEAKER_02
feel,233.076,233.277,0.759,SPEAKER_02
guilt,233.337,233.557,0.869,SPEAKER_02
just,233.637,233.777,0.848,SPEAKER_01
like,233.898,233.978,0.25,SPEAKER_01
I,234.158,234.258,0.976,SPEAKER_02
feel,234.318,234.539,0.821,SPEAKER_02
guilt.,234.599,234.919,0.89,SPEAKER_02
And,235.28,235.36,0.754,SPEAKER_01
so,235.42,235.54,0.938,SPEAKER_02
if,235.62,235.681,0.914,SPEAKER_02
I'm,235.921,236.061,0.988,SPEAKER_02
just,236.121,236.262,0.906,SPEAKER_02
fully,236.342,236.622,0.993,SPEAKER_02
telling,236.682,237.023,0.863,SPEAKER_02
you,237.083,237.283,0.821,SPEAKER_02
how,237.323,238.004,0.615,SPEAKER_02
much,238.064,238.185,0.873,SPEAKER_02
it,238.245,238.325,0.901,SPEAKER_02
hurt,238.385,238.545,0.856,SPEAKER_02
"me,",238.585,238.686,0.995,SPEAKER_02
the,238.726,238.786,0.993,SPEAKER_02
things,238.826,239.046,0.726,SPEAKER_02
you,239.106,239.266,0.734,SPEAKER_02
"did,",239.327,239.507,0.897,SPEAKER_02
of,239.527,239.627,0.764,SPEAKER_02
course,239.727,239.948,0.625,SPEAKER_02
that's,239.988,240.128,0.772,SPEAKER_02
going,240.168,240.308,0.466,SPEAKER_02
to,240.589,240.669,0.82,SPEAKER_02
weigh,241.09,241.59,0.437,SPEAKER_01
on,241.65,242.091,0.796,SPEAKER_01
you.,242.111,242.612,0.478,SPEAKER_02
you,242.592,242.792,0.929,SPEAKER_02
know,242.832,242.952,0.88,SPEAKER_02
how,243.053,243.213,0.708,SPEAKER_02
hard,243.313,243.513,0.903,SPEAKER_02
it,243.573,243.613,0.998,SPEAKER_02
was,243.653,243.934,0.83,SPEAKER_02
and,243.974,244.034,0.811,SPEAKER_02
you,244.414,244.514,0.787,SPEAKER_02
know,244.555,244.715,0.894,SPEAKER_02
being,244.995,245.195,0.797,SPEAKER_02
a,245.235,245.275,0.364,SPEAKER_02
mom,245.295,245.496,0.585,SPEAKER_02
to,245.536,245.576,0.426,SPEAKER_02
me,245.596,245.776,0.74,SPEAKER_02
it,246.117,246.177,0.913,SPEAKER_02
was,246.217,246.297,0.68,SPEAKER_02
like,246.317,246.417,0.782,SPEAKER_02
a,246.457,246.497,0.5,SPEAKER_02
burden,246.537,246.857,0.753,SPEAKER_02
sometimes,246.898,247.198,0.826,SPEAKER_02
like,247.218,247.318,0.664,SPEAKER_02
those,247.358,247.498,0.976,SPEAKER_02
things,247.538,247.719,0.838,SPEAKER_02
are,247.779,247.879,0.308,SPEAKER_02
gonna,247.899,248.079,0.348,SPEAKER_02
you,248.46,248.54,0.811,SPEAKER_02
know,248.58,248.7,0.908,SPEAKER_02
they,248.98,249.421,0.869,SPEAKER_02
hurt,249.481,249.641,0.813,SPEAKER_02
the,249.681,249.781,0.716,SPEAKER_02
other,249.801,249.961,0.869,SPEAKER_02
person,250.001,250.282,0.993,SPEAKER_02
but,250.302,250.422,0.952,SPEAKER_02
it's,250.482,250.622,0.783,SPEAKER_02
important,250.682,251.123,0.859,SPEAKER_02
to,251.143,251.323,0.83,SPEAKER_02
express,251.724,252.024,0.965,SPEAKER_02
them,252.064,252.164,0.939,SPEAKER_02
but,252.204,252.284,0.856,SPEAKER_02
maybe,252.344,252.565,0.926,SPEAKER_02
just,252.605,252.765,0.946,SPEAKER_02
not,252.825,252.965,0.886,SPEAKER_02
to,253.005,253.065,0.676,SPEAKER_02
each,253.125,253.246,0.944,SPEAKER_02
other,253.306,253.466,0.812,SPEAKER_02
like,253.526,253.646,0.866,SPEAKER_02
maybe,253.726,254.007,0.9,SPEAKER_02
in,254.207,254.287,0.732,SPEAKER_02
therapy,254.307,254.808,0.635,SPEAKER_01
and,254.828,254.968,0.808,SPEAKER_02
yeah,255.328,255.549,0.533,SPEAKER_01
yeah,255.669,255.889,0.538,SPEAKER_01
yeah,256.63,256.87,0.626,SPEAKER_01
exactly,257.171,257.651,0.844,SPEAKER_01
yeah,257.932,258.152,0.637,SPEAKER_01
okay,260.054,260.315,0.735,SPEAKER_01
what's,260.375,260.555,0.803,SPEAKER_01
something,260.595,260.895,0.985,SPEAKER_01
i,260.976,261.036,0.952,SPEAKER_01
still,261.136,261.356,0.831,SPEAKER_01
don't,261.396,261.576,0.812,SPEAKER_01
fully,261.676,261.957,0.744,SPEAKER_01
understand,262.017,262.477,0.791,SPEAKER_01
about,262.558,262.778,0.978,SPEAKER_01
you,262.838,262.958,0.949,SPEAKER_01
and,262.998,263.218,0.834,SPEAKER_01
why,263.379,263.759,0.848,SPEAKER_01
do,263.779,263.819,0.5,SPEAKER_01
you,264.3,264.4,0.888,SPEAKER_01
think,264.44,264.62,0.94,SPEAKER_01
that,264.66,264.84,0.961,SPEAKER_01
is,264.961,267.604,0.922,SPEAKER_01
That's,270.638,270.819,0.125,SPEAKER_02
a,270.839,270.859,0.0,SPEAKER_02
hard,270.879,271.16,0.91,SPEAKER_02
one.,271.26,271.38,0.907,SPEAKER_02
What's,271.461,271.661,0.863,SPEAKER_02
something,271.702,272.243,0.931,SPEAKER_02
I,272.263,272.283,1.0,SPEAKER_02
feel,272.484,272.665,0.823,SPEAKER_02
like,272.685,272.825,0.803,SPEAKER_02
you,272.865,273.006,0.993,SPEAKER_02
don't,273.066,273.307,0.793,SPEAKER_02
fully,273.467,273.788,0.882,SPEAKER_02
understand,273.808,274.471,0.749,SPEAKER_02
about,274.551,274.812,0.996,SPEAKER_02
me?,274.872,275.012,0.84,SPEAKER_02
Sometimes,277.681,278.042,0.964,SPEAKER_02
maybe,278.083,278.363,0.786,SPEAKER_02
the,278.424,278.504,0.973,SPEAKER_02
way,278.544,278.705,0.897,SPEAKER_02
my,278.745,278.945,0.797,SPEAKER_02
mind,279.006,279.327,0.894,SPEAKER_02
thinks.,279.427,281.273,0.877,SPEAKER_02
How,282.94,283.16,0.458,SPEAKER_02
I,283.22,283.281,0.991,SPEAKER_02
see,283.341,283.481,0.998,SPEAKER_02
the,283.521,283.601,0.85,SPEAKER_02
"world,",283.661,284.002,0.831,SPEAKER_02
I,284.062,284.102,0.771,SPEAKER_02
do,284.162,284.262,0.982,SPEAKER_02
think,284.302,284.422,0.855,SPEAKER_02
we're,284.462,284.623,0.727,SPEAKER_02
very,284.663,284.923,0.731,SPEAKER_02
similar,285.003,285.384,0.703,SPEAKER_02
in,285.504,285.684,0.354,SPEAKER_02
how,285.744,285.845,0.985,SPEAKER_02
we,285.905,285.985,0.977,SPEAKER_02
see,286.025,286.145,0.986,SPEAKER_02
the,286.185,286.245,0.752,SPEAKER_02
"world,",286.285,286.606,0.742,SPEAKER_02
but,287.307,287.407,0.959,SPEAKER_02
we,287.467,287.627,0.79,SPEAKER_02
live,287.727,287.968,0.851,SPEAKER_02
in,288.048,288.108,0.936,SPEAKER_02
really,288.208,288.509,0.755,SPEAKER_02
different,288.629,289.13,0.923,SPEAKER_02
spaces,290.031,290.532,0.888,SPEAKER_02
in,290.592,290.652,0.901,SPEAKER_02
the,290.692,290.772,0.979,SPEAKER_02
world.,290.812,291.153,0.717,SPEAKER_02
I'm,291.453,291.513,0.213,SPEAKER_02
around,291.834,293.637,0.904,SPEAKER_02
so,293.877,294.037,0.99,SPEAKER_02
many,294.097,294.218,0.789,SPEAKER_02
different,294.278,294.518,0.874,SPEAKER_02
types,294.538,294.799,0.834,SPEAKER_02
of,294.859,294.899,0.978,SPEAKER_02
people.,294.959,295.359,0.829,SPEAKER_02
The,296.081,296.261,0.724,SPEAKER_02
way,296.301,296.421,0.722,SPEAKER_02
I,296.481,296.541,0.997,SPEAKER_02
grew,296.601,296.742,0.875,SPEAKER_02
"up,",296.802,296.882,0.954,SPEAKER_02
how,296.902,297.022,0.963,SPEAKER_02
curious,297.122,297.563,0.905,SPEAKER_02
I,297.643,297.703,0.992,SPEAKER_02
was,297.743,297.923,0.797,SPEAKER_02
about,298.004,298.204,0.989,SPEAKER_02
the,298.244,298.324,0.78,SPEAKER_02
"world,",298.384,298.725,0.733,SPEAKER_02
how,299.346,299.466,0.942,SPEAKER_02
I,299.526,299.586,0.965,SPEAKER_02
literally,299.646,299.967,0.877,SPEAKER_02
have,300.027,300.167,0.877,SPEAKER_02
friends,300.287,300.728,0.779,SPEAKER_02
from,301.048,302.13,0.894,SPEAKER_02
you,302.11,302.37,0.923,SPEAKER_02
"know,",302.39,302.511,0.679,SPEAKER_02
every,302.631,302.811,0.78,SPEAKER_02
different,303.131,303.372,0.943,SPEAKER_02
"continent,",303.412,303.892,0.861,SPEAKER_02
every,304.413,304.573,0.911,SPEAKER_02
different,304.613,304.854,0.728,SPEAKER_02
racial,304.914,305.234,0.92,SPEAKER_02
"background,",305.274,305.915,0.811,SPEAKER_02
you,305.975,306.916,0.976,SPEAKER_02
"know,",306.956,307.056,0.961,SPEAKER_02
friends,307.117,307.317,0.708,SPEAKER_02
from,307.357,307.497,0.864,SPEAKER_02
every,307.537,308.118,0.587,SPEAKER_02
different,308.158,308.398,0.922,SPEAKER_02
sector,308.438,308.719,0.786,SPEAKER_02
of,308.739,308.779,0.948,SPEAKER_02
the,308.799,308.859,0.942,SPEAKER_02
LGBTQ,308.899,309.54,0.564,SPEAKER_02
plus,309.58,309.84,0.929,SPEAKER_02
community.,309.88,310.461,0.913,SPEAKER_02
I,310.481,310.501,1.0,SPEAKER_02
have,310.641,310.761,0.734,SPEAKER_02
friends,311.342,311.522,0.78,SPEAKER_02
from,311.542,311.662,0.903,SPEAKER_02
every,311.723,311.863,0.776,SPEAKER_02
different,311.883,312.103,0.681,SPEAKER_02
"religion,",312.143,312.664,0.834,SPEAKER_02
you,312.724,312.864,0.615,SPEAKER_02
"know,",312.904,313.084,0.792,SPEAKER_02
and,313.144,313.605,0.826,SPEAKER_02
so,313.625,313.725,0.676,SPEAKER_02
I,313.785,313.845,0.997,SPEAKER_02
get,313.885,314.006,0.79,SPEAKER_02
this,314.026,314.186,0.655,SPEAKER_02
really,314.346,314.646,0.619,SPEAKER_02
cool,314.827,315.067,0.84,SPEAKER_02
experience,315.127,315.728,0.796,SPEAKER_02
of,315.788,315.828,1.0,SPEAKER_02
talking,315.848,316.349,0.967,SPEAKER_02
to,316.389,316.429,0.0,SPEAKER_02
all,316.449,316.509,0.668,SPEAKER_02
these,316.549,316.689,0.689,SPEAKER_02
people.,316.729,316.989,0.884,SPEAKER_02
And,317.05,317.13,0.902,SPEAKER_02
I,317.17,317.21,0.986,SPEAKER_02
know,317.31,317.47,0.613,SPEAKER_02
you,317.51,317.69,0.784,SPEAKER_02
love,317.75,317.931,0.854,SPEAKER_02
coming,317.971,318.171,0.944,SPEAKER_02
around,318.191,318.331,0.914,SPEAKER_02
my,318.391,318.471,0.946,SPEAKER_02
friends,318.511,318.752,0.746,SPEAKER_02
because,318.832,319.052,0.991,SPEAKER_02
like,319.092,319.312,0.825,SPEAKER_02
yesterday,319.373,319.753,0.815,SPEAKER_02
"too,",319.793,319.973,0.845,SPEAKER_02
like,319.993,320.114,0.909,SPEAKER_02
you,320.134,320.254,0.728,SPEAKER_02
get,320.274,320.374,0.631,SPEAKER_02
to,320.394,320.434,0.535,SPEAKER_02
have,320.474,320.554,0.78,SPEAKER_02
these,320.594,320.714,0.751,SPEAKER_02
really,320.754,320.935,0.87,SPEAKER_02
deep,320.975,321.115,0.978,SPEAKER_02
conversations,321.175,321.756,0.87,SPEAKER_02
because,321.816,322.016,0.803,SPEAKER_02
you,322.056,322.176,0.985,SPEAKER_02
have,322.216,322.356,0.855,SPEAKER_02
such,322.517,322.757,0.97,SPEAKER_02
a,322.877,323.578,0.887,SPEAKER_02
open,323.558,324.059,0.66,SPEAKER_02
and,324.099,324.219,0.515,SPEAKER_02
inquisitive,324.279,324.8,0.786,SPEAKER_02
"mind,",324.88,325.16,0.974,SPEAKER_02
which,325.2,325.34,0.851,SPEAKER_02
that's,325.621,325.761,0.391,SPEAKER_02
one,325.841,325.921,0.957,SPEAKER_02
of,325.961,326.001,0.997,SPEAKER_02
the,326.021,326.081,0.953,SPEAKER_02
things,326.101,326.322,0.759,SPEAKER_02
I,326.382,326.422,0.961,SPEAKER_02
love,326.482,326.642,0.849,SPEAKER_02
so,326.762,326.962,0.856,SPEAKER_02
much,327.002,327.163,0.592,SPEAKER_02
about,327.243,327.443,0.999,SPEAKER_02
"you,",327.483,327.603,0.894,SPEAKER_02
especially,327.643,328.004,0.812,SPEAKER_02
for,328.064,328.184,0.952,SPEAKER_02
being,328.264,328.524,0.749,SPEAKER_02
a,328.725,328.745,0.957,SPEAKER_02
white,328.805,328.985,0.891,SPEAKER_02
woman,329.045,329.345,0.874,SPEAKER_02
of,329.385,329.706,0.747,SPEAKER_02
your,329.766,329.926,0.856,SPEAKER_02
"age,",330.126,330.387,0.866,SPEAKER_02
you,330.887,330.967,0.995,SPEAKER_02
"know,",330.988,331.168,0.8,SPEAKER_02
with,331.208,331.728,0.879,SPEAKER_02
the,331.748,331.809,0.943,SPEAKER_02
financial,331.849,332.289,0.798,SPEAKER_02
status,332.349,332.67,0.832,SPEAKER_02
that,332.71,332.81,0.662,SPEAKER_02
you're,332.85,333.01,0.725,SPEAKER_02
in.,333.09,333.19,0.837,SPEAKER_02
But,334.652,334.752,0.784,SPEAKER_02
I,334.792,334.832,0.988,SPEAKER_02
think,334.933,335.213,0.993,SPEAKER_02
because,335.453,335.914,0.697,SPEAKER_02
you,335.954,336.174,0.791,SPEAKER_02
are,336.274,336.374,0.821,SPEAKER_02
so,336.414,336.795,0.826,SPEAKER_02
interested,336.895,337.276,0.628,SPEAKER_02
in,337.336,337.376,1.0,SPEAKER_02
the,337.396,337.476,0.719,SPEAKER_02
world,337.536,337.856,0.772,SPEAKER_02
and,338.017,338.097,0.882,SPEAKER_02
humanity,338.157,338.697,0.865,SPEAKER_02
and,338.757,338.838,0.98,SPEAKER_02
you,338.858,339.398,0.684,SPEAKER_02
are,339.518,339.599,0.809,SPEAKER_02
always,339.639,339.839,0.664,SPEAKER_02
paying,339.879,340.059,0.637,SPEAKER_02
attention,340.079,340.42,0.855,SPEAKER_02
through,340.48,340.66,0.909,SPEAKER_02
news,340.72,340.92,0.789,SPEAKER_02
"outlets,",341.02,341.361,0.881,SPEAKER_02
et,341.421,341.481,0.938,SPEAKER_02
"cetera,",341.541,341.962,0.871,SPEAKER_02
I,342.562,342.642,0.632,SPEAKER_02
have,342.662,342.783,0.8,SPEAKER_02
a,342.803,342.843,0.5,SPEAKER_02
different,342.903,343.203,0.863,SPEAKER_02
experience,343.243,343.964,0.734,SPEAKER_02
because,344.525,344.885,0.883,SPEAKER_02
I,344.905,344.925,1.0,SPEAKER_02
don't,345.626,345.847,0.712,SPEAKER_02
listen,345.887,346.147,0.803,SPEAKER_02
to,346.227,346.307,0.992,SPEAKER_02
the,346.347,346.427,0.832,SPEAKER_02
news.,346.467,346.808,0.887,SPEAKER_02
I,347.228,347.328,0.731,SPEAKER_02
talk,347.348,347.789,0.823,SPEAKER_02
to,347.829,347.909,0.796,SPEAKER_02
people.,347.969,348.57,0.796,SPEAKER_02
So,348.55,348.79,0.844,SPEAKER_02
sometimes,348.83,349.171,0.81,SPEAKER_02
it's,349.211,349.331,0.599,SPEAKER_02
hard,349.391,349.612,0.9,SPEAKER_02
to,349.672,349.772,0.746,SPEAKER_02
"like,",349.832,350.012,0.912,SPEAKER_02
even,350.112,350.233,0.948,SPEAKER_02
though,350.253,350.393,0.751,SPEAKER_02
you,350.413,350.513,0.794,SPEAKER_02
are,350.573,350.673,0.827,SPEAKER_02
so,350.753,350.914,0.883,SPEAKER_02
open,351.034,351.274,0.807,SPEAKER_02
to,351.354,351.414,0.93,SPEAKER_02
"understanding,",351.495,352.216,0.884,SPEAKER_02
we,352.616,352.737,0.982,SPEAKER_02
live,352.837,353.017,0.942,SPEAKER_02
in,353.077,353.117,0.939,SPEAKER_02
like,353.177,353.317,0.804,SPEAKER_02
two,353.358,353.458,0.963,SPEAKER_02
different,353.498,353.738,0.879,SPEAKER_02
worlds,353.778,354.099,0.655,SPEAKER_02
in,354.159,354.219,0.969,SPEAKER_02
that,354.239,354.379,0.74,SPEAKER_02
aspect,354.399,354.9,0.744,SPEAKER_02
"because,",355.0,355.381,0.848,SPEAKER_02
you,355.421,356.122,0.811,SPEAKER_02
know.,356.162,356.302,0.896,SPEAKER_02
Different,356.342,356.763,0.361,SPEAKER_02
generations.,356.783,357.264,0.391,SPEAKER_01
Different,357.284,357.484,0.335,SPEAKER_01
"generations,",357.504,358.285,0.86,SPEAKER_02
yeah.,358.345,358.646,0.637,SPEAKER_02
But,358.806,358.886,0.997,SPEAKER_02
I,358.946,359.006,0.99,SPEAKER_02
love,359.046,359.247,0.802,SPEAKER_02
that,359.267,359.367,0.942,SPEAKER_02
we,359.407,359.487,0.914,SPEAKER_02
talk,359.527,359.747,0.859,SPEAKER_02
about,359.788,359.968,0.983,SPEAKER_02
it,360.008,360.068,0.744,SPEAKER_02
all,360.108,360.208,0.999,SPEAKER_02
the,360.248,360.308,0.987,SPEAKER_02
time.,360.348,360.589,0.945,SPEAKER_02
"And,",360.969,361.11,0.922,SPEAKER_01
you,361.31,361.39,0.941,SPEAKER_02
"know,",361.41,361.53,0.89,SPEAKER_02
we've,361.59,361.751,0.972,SPEAKER_02
really,361.771,361.971,0.833,SPEAKER_02
gotten,362.011,362.191,0.498,SPEAKER_02
to,362.211,362.271,0.746,SPEAKER_02
a,362.312,362.352,0.499,SPEAKER_02
place,362.392,362.572,0.775,SPEAKER_02
where,362.592,362.692,0.992,SPEAKER_02
I,362.712,362.752,0.85,SPEAKER_02
feel,362.792,362.892,0.464,SPEAKER_02
like,362.912,363.013,0.62,SPEAKER_02
we,363.033,363.113,0.93,SPEAKER_02
have,363.153,363.333,0.876,SPEAKER_02
a,363.373,363.433,0.332,SPEAKER_02
lot,363.473,363.573,0.962,SPEAKER_02
of,363.614,363.654,0.988,SPEAKER_02
respect,363.694,364.034,0.652,SPEAKER_02
for,364.074,364.154,0.846,SPEAKER_02
each,364.194,364.315,0.508,SPEAKER_02
other,364.375,364.515,0.714,SPEAKER_02
when,364.555,364.815,0.857,SPEAKER_02
talking,364.835,365.737,0.903,SPEAKER_02
about,365.797,365.977,0.761,SPEAKER_02
those,365.997,366.178,0.596,SPEAKER_02
things.,366.238,366.458,0.927,SPEAKER_02
Or,366.498,366.578,0.597,SPEAKER_02
it,366.618,366.658,1.0,SPEAKER_02
wasn't,366.698,366.939,0.75,SPEAKER_02
always,366.979,367.159,0.736,SPEAKER_02
like,367.239,367.359,0.779,SPEAKER_02
"that,",367.379,367.48,0.001,SPEAKER_02
because,367.5,367.64,0.474,SPEAKER_02
I,367.68,367.72,0.61,SPEAKER_02
would,367.74,367.86,0.629,SPEAKER_02
just,367.88,367.98,0.656,SPEAKER_02
get,368.02,368.141,0.942,SPEAKER_02
angry,368.241,368.481,0.834,SPEAKER_02
or,368.561,368.621,0.776,SPEAKER_02
upset,368.661,369.082,0.844,SPEAKER_02
"or,",369.182,369.242,0.963,SPEAKER_02
you,369.302,369.963,0.534,SPEAKER_02
"know,",370.004,370.164,0.635,SPEAKER_02
you,370.204,370.324,0.817,SPEAKER_02
don't,370.364,370.504,0.686,SPEAKER_02
fully,370.524,370.745,0.666,SPEAKER_02
understand,370.785,371.245,0.81,SPEAKER_02
this.,371.286,371.586,0.895,SPEAKER_02
But,372.588,372.768,0.991,SPEAKER_02
you've,372.808,373.068,0.792,SPEAKER_02
also,373.108,373.389,0.781,SPEAKER_02
become,373.429,373.93,0.737,SPEAKER_02
so,373.97,374.09,0.791,SPEAKER_02
open-minded,374.17,374.751,0.857,SPEAKER_02
too.,374.771,375.452,0.819,SPEAKER_02
So,375.871,376.051,0.736,SPEAKER_02
"yeah,",376.091,376.292,0.662,SPEAKER_02
I,376.412,376.632,0.846,SPEAKER_02
think,376.672,376.812,0.984,SPEAKER_02
that's,376.872,377.053,0.988,SPEAKER_02
the,377.073,377.133,0.985,SPEAKER_02
only,377.153,377.293,0.542,SPEAKER_02
thing,377.313,377.433,0.718,SPEAKER_02
I,377.473,377.493,0.66,SPEAKER_02
can,377.533,377.633,0.828,SPEAKER_02
really,377.693,377.854,0.772,SPEAKER_02
think,377.894,378.094,0.936,SPEAKER_02
of.,378.214,378.294,0.996,SPEAKER_02
I,378.374,378.434,0.979,SPEAKER_02
feel,378.474,378.635,0.784,SPEAKER_02
like,378.655,378.735,0.409,SPEAKER_02
besides,378.855,379.235,0.945,SPEAKER_02
"that,",379.296,379.436,0.944,SPEAKER_02
you,379.496,379.676,0.958,SPEAKER_02
understand,379.956,380.617,0.806,SPEAKER_02
me,380.677,380.777,0.869,SPEAKER_02
very,380.818,381.018,0.69,SPEAKER_02
"well,",381.078,381.278,0.894,SPEAKER_02
even,381.398,381.579,0.828,SPEAKER_02
in,381.619,381.959,0.893,SPEAKER_02
the,381.999,382.059,0.983,SPEAKER_02
areas,382.099,382.299,0.925,SPEAKER_02
that,382.34,382.44,0.972,SPEAKER_02
we,382.46,382.54,0.893,SPEAKER_02
are,382.62,382.72,0.988,SPEAKER_02
different.,382.76,383.221,0.749,SPEAKER_02
Yeah.,383.581,383.841,0.599,SPEAKER_01
Can,384.402,384.562,0.671,SPEAKER_01
I,384.602,384.663,0.871,SPEAKER_01
just,384.703,384.863,0.884,SPEAKER_01
answer,384.983,385.303,0.65,SPEAKER_01
my,385.323,385.363,0.497,SPEAKER_01
way?,386.084,386.265,0.928,SPEAKER_01
Yeah.,386.365,386.565,0.326,SPEAKER_01
"Okay,",386.585,386.785,0.462,SPEAKER_01
answer,386.805,387.006,0.802,SPEAKER_01
the,387.046,387.106,0.984,SPEAKER_01
question,387.126,387.386,0.678,SPEAKER_01
this,387.446,387.566,0.411,SPEAKER_01
way.,387.646,387.787,0.927,SPEAKER_01
One,388.167,388.247,0.408,SPEAKER_01
thing,388.267,388.428,0.778,SPEAKER_01
I,388.608,388.728,0.578,SPEAKER_01
still,388.788,389.008,0.765,SPEAKER_01
don't,389.048,389.249,0.432,SPEAKER_01
fully,389.649,389.909,0.963,SPEAKER_01
understand,389.97,390.53,0.806,SPEAKER_01
is,390.57,391.051,0.878,SPEAKER_01
"why,",391.171,391.492,0.857,SPEAKER_01
at,391.532,391.732,0.762,SPEAKER_01
such,391.792,391.972,0.833,SPEAKER_01
a,392.012,392.052,0.499,SPEAKER_01
young,392.112,392.313,0.708,SPEAKER_01
"age,",392.513,392.733,0.915,SPEAKER_01
you,392.793,392.913,0.943,SPEAKER_01
started,392.933,393.214,0.66,SPEAKER_01
gravitating,393.254,393.855,0.858,SPEAKER_01
to,394.195,394.295,0.918,SPEAKER_01
the,394.335,394.395,0.99,SPEAKER_01
black,394.435,394.636,0.876,SPEAKER_01
community.,394.676,395.176,0.885,SPEAKER_01
That,395.777,395.877,0.94,SPEAKER_01
will,395.897,396.038,0.78,SPEAKER_01
always,396.078,396.318,0.789,SPEAKER_01
be,396.398,396.598,0.894,SPEAKER_01
a,396.618,396.638,1.0,SPEAKER_01
curious,396.899,397.319,0.903,SPEAKER_01
thing,397.379,397.56,0.889,SPEAKER_01
for,397.62,397.74,0.881,SPEAKER_01
me.,397.78,397.9,0.996,SPEAKER_01
I,397.92,397.94,0.999,SPEAKER_01
almost,398.781,399.382,0.66,SPEAKER_01
feel,399.422,399.542,0.931,SPEAKER_01
like,399.582,399.682,0.672,SPEAKER_01
it,399.722,399.762,0.904,SPEAKER_01
was,399.823,400.083,0.653,SPEAKER_01
meant,400.143,400.323,0.764,SPEAKER_01
to,400.363,400.443,0.746,SPEAKER_01
"be,",400.483,400.664,0.891,SPEAKER_01
like,400.704,401.064,0.912,SPEAKER_01
it,401.104,401.164,0.477,SPEAKER_01
was,401.184,401.284,0.659,SPEAKER_01
part,401.324,401.505,0.883,SPEAKER_01
of,401.545,401.585,0.91,SPEAKER_01
your,401.625,401.745,0.892,SPEAKER_01
journey.,401.785,402.486,0.647,SPEAKER_01
"Yeah,",402.466,402.947,0.618,SPEAKER_01
I,402.967,402.987,0.987,SPEAKER_02
think,403.729,403.909,0.862,SPEAKER_02
it's,404.049,404.17,0.768,SPEAKER_02
hard,404.21,404.37,0.907,SPEAKER_02
for,404.41,404.49,0.836,SPEAKER_02
me,404.55,404.651,0.941,SPEAKER_02
to,404.691,404.751,0.986,SPEAKER_02
"understand,",404.811,405.232,0.845,SPEAKER_02
too.,405.272,405.572,0.912,SPEAKER_02
I,405.753,405.833,0.418,SPEAKER_02
think,405.873,406.675,0.968,SPEAKER_02
when,406.795,406.895,0.92,SPEAKER_02
I,406.955,406.995,0.985,SPEAKER_02
was,407.035,407.136,0.948,SPEAKER_02
"younger,",407.196,407.557,0.908,SPEAKER_02
"obviously,",407.597,408.138,0.304,SPEAKER_02
I,408.158,408.178,0.002,SPEAKER_02
was,408.198,408.258,0.32,SPEAKER_02
so,408.278,408.418,0.862,SPEAKER_02
misunderstood.,408.458,409.16,0.865,SPEAKER_02
And,409.2,409.561,0.716,SPEAKER_02
that,409.581,409.861,0.371,SPEAKER_02
was,409.881,409.942,0.528,SPEAKER_02
one,410.002,410.082,0.62,SPEAKER_02
of,410.102,410.142,0.505,SPEAKER_02
