,word,start,end,score,speaker
545,themselves,262.946,263.226,0.45,SPEAKER_01
546,because,263.266,263.447,0.784,SPEAKER_00
547,I,263.507,263.567,0.941,SPEAKER_00
548,didn't,263.607,263.907,0.673,SPEAKER_01
549,want,263.987,264.168,0.856,SPEAKER_01
550,you,264.668,264.829,0.91,SPEAKER_01
551,to,264.869,264.929,0.894,SPEAKER_01
552,make,264.969,265.109,0.873,SPEAKER_01
553,a,265.169,265.189,0.996,SPEAKER_01
554,decision,265.249,265.65,0.895,SPEAKER_01
555,because,265.69,265.99,0.627,SPEAKER_01
556,of,266.01,266.05,0.994,SPEAKER_01
557,how,266.111,266.231,0.89,SPEAKER_01
558,I,266.311,266.371,0.863,SPEAKER_01
559,see,266.411,266.571,0.603,SPEAKER_01
560,things.,266.611,267.132,0.941,SPEAKER_01
561,if,267.922,268.062,0.55,SPEAKER_01
562,that,268.082,268.162,0.936,SPEAKER_01
563,makes,268.202,268.363,0.41,SPEAKER_01
564,"sense,",268.383,268.563,0.712,SPEAKER_01
565,because,268.623,268.803,0.65,SPEAKER_01
566,I,268.843,268.903,0.263,SPEAKER_01
567,have,268.943,269.063,0.903,SPEAKER_01
568,seen,269.184,269.424,0.735,SPEAKER_01
569,my,269.444,269.484,0.498,SPEAKER_01
570,parents,269.885,270.205,0.784,SPEAKER_01
571,do,270.225,270.345,0.937,SPEAKER_01
572,that.,270.385,270.525,0.851,SPEAKER_01
573,I've,270.565,270.766,0.815,SPEAKER_01
574,seen,270.806,271.006,0.775,SPEAKER_01
575,my,271.066,271.186,0.986,SPEAKER_01
576,mum,271.266,271.507,0.957,SPEAKER_01
577,let,271.807,271.967,0.982,SPEAKER_01
578,go,272.007,272.147,0.978,SPEAKER_01
579,of,272.228,272.308,0.683,SPEAKER_01
580,friends,272.348,272.648,0.718,SPEAKER_01
581,because,272.748,272.949,0.934,SPEAKER_01
582,my,273.009,273.129,0.897,SPEAKER_01
583,dad,273.169,273.409,0.828,SPEAKER_01
584,was,273.449,273.569,0.882,SPEAKER_01
585,"like,",273.609,273.87,0.944,SPEAKER_01
586,I'm,274.03,274.15,0.969,SPEAKER_01
587,not,274.19,274.31,0.923,SPEAKER_01
588,feeling,274.33,274.591,0.874,SPEAKER_01
589,it.,274.651,274.711,0.916,SPEAKER_01
590,And,275.432,275.492,0.396,SPEAKER_01
591,it's,275.552,275.632,0.426,SPEAKER_01
592,"like,",275.692,276.193,0.61,SPEAKER_01
593,I,276.213,276.273,0.887,SPEAKER_01
594,get,276.293,276.433,0.859,SPEAKER_01
595,it.,276.513,276.573,0.843,SPEAKER_01
596,"Like,",276.733,276.854,0.592,SPEAKER_01
597,you,277.715,277.775,0.209,SPEAKER_00
598,probably,277.795,278.035,0.863,SPEAKER_01
599,should,278.095,278.295,0.742,SPEAKER_01
600,do,278.356,278.476,0.954,SPEAKER_01
601,that.,278.536,278.756,0.975,SPEAKER_01
602,But,279.457,279.557,0.83,SPEAKER_01
603,sometimes,279.597,279.918,0.76,SPEAKER_01
604,I,279.958,279.998,0.966,SPEAKER_01
605,just,280.038,280.158,0.872,SPEAKER_01
606,wish,280.218,280.338,0.987,SPEAKER_01
607,for,280.378,280.478,0.982,SPEAKER_01
608,more,280.498,280.618,0.763,SPEAKER_01
609,excitement,280.679,281.119,0.842,SPEAKER_01
610,in,281.159,281.199,0.853,SPEAKER_01
611,their,281.239,281.359,0.771,SPEAKER_01
612,lives,281.399,281.58,0.832,SPEAKER_01
613,that,281.62,281.72,0.936,SPEAKER_01
614,I,281.74,281.78,0.777,SPEAKER_01
615,feel,281.84,281.98,0.207,SPEAKER_01
616,they,282.02,282.1,0.997,SPEAKER_01
617,would,282.12,282.261,0.824,SPEAKER_01
618,have,282.341,282.621,0.797,SPEAKER_01
619,if,282.841,282.901,0.998,SPEAKER_01
620,they,282.941,283.062,0.867,SPEAKER_01
621,had,283.142,283.402,0.973,SPEAKER_01
622,more,284.143,284.323,0.818,SPEAKER_01
623,friends.,284.383,284.684,0.834,SPEAKER_01
624,Whereas,285.405,285.665,0.623,SPEAKER_01
625,now,285.705,285.945,0.808,SPEAKER_01
626,I,286.005,286.066,0.768,SPEAKER_01
627,feel,286.086,286.226,0.437,SPEAKER_01
628,like,286.246,286.386,0.836,SPEAKER_01
629,my,286.426,286.506,0.938,SPEAKER_01
630,mum's,286.546,286.807,0.622,SPEAKER_01
631,life,286.907,287.167,0.858,SPEAKER_01
632,is,287.387,287.507,0.822,SPEAKER_01
633,my,287.788,287.928,0.851,SPEAKER_01
634,dad,287.968,288.208,0.8,SPEAKER_01
635,and,288.389,288.469,0.748,SPEAKER_01
636,his,288.529,288.649,0.626,SPEAKER_01
637,friends.,288.709,289.029,0.713,SPEAKER_01
638,I,289.73,289.75,0.56,SPEAKER_01
639,don't,289.81,289.911,0.799,SPEAKER_01
640,know.,289.931,290.051,0.749,SPEAKER_01
641,I,290.211,290.251,0.902,SPEAKER_01
642,want,290.311,290.471,0.518,SPEAKER_01
643,more,290.511,290.652,0.895,SPEAKER_01
644,for,290.692,290.772,0.845,SPEAKER_01
645,her.,290.832,290.972,0.903,SPEAKER_01
646,And,291.453,291.553,0.865,SPEAKER_01
647,I,291.613,291.653,0.971,SPEAKER_01
648,want,291.713,291.853,0.836,SPEAKER_01
649,more,291.873,292.013,0.863,SPEAKER_01
650,for,292.053,292.153,0.962,SPEAKER_01
651,me.,292.194,292.354,0.498,SPEAKER_01
652,I,292.374,292.394,0.443,SPEAKER_01
653,want,292.414,292.534,0.672,SPEAKER_01
654,more,292.554,292.694,0.808,SPEAKER_01
655,for,292.734,292.834,0.836,SPEAKER_01
656,"us,",292.954,293.075,0.961,SPEAKER_01
657,if,293.395,293.495,0.471,SPEAKER_00
658,that,293.515,293.675,0.178,SPEAKER_00
659,makes,293.695,293.876,0.275,SPEAKER_00
660,sense.,293.896,294.056,0.501,SPEAKER_01
661,So,294.076,294.236,0.921,SPEAKER_01
662,as,294.276,294.957,0.814,SPEAKER_01
663,much,295.017,295.157,0.972,SPEAKER_01
664,as,295.217,295.278,0.949,SPEAKER_01
665,she,295.358,295.538,0.613,SPEAKER_01
666,is,295.618,295.678,0.922,SPEAKER_01
667,"satisfied,",295.738,296.319,0.945,SPEAKER_01
668,I,296.399,296.459,0.883,SPEAKER_01
669,"want,",296.499,297.22,0.688,SPEAKER_01
670,our,297.824,298.064,0.837,SPEAKER_01
671,relationship,298.104,298.645,0.918,SPEAKER_01
672,to,298.665,298.705,0.7,SPEAKER_01
673,be,298.725,298.825,0.889,SPEAKER_01
674,more,298.885,299.006,0.376,SPEAKER_01
675,than,299.026,299.206,0.512,SPEAKER_01
676,that.,299.226,299.326,0.4,SPEAKER_01
677,I,299.426,299.486,0.939,SPEAKER_01
678,want,299.526,299.707,0.842,SPEAKER_01
679,our,299.807,299.887,0.846,SPEAKER_01
680,relationship,299.927,300.548,0.788,SPEAKER_01
681,to,300.588,300.688,0.986,SPEAKER_01
682,be,300.748,300.968,0.988,SPEAKER_01
683,a,301.469,301.509,0.985,SPEAKER_01
684,foundation,301.589,302.13,0.893,SPEAKER_01
685,of,302.17,302.23,0.742,SPEAKER_01
686,community.,302.35,302.971,0.868,SPEAKER_01
687,Do,303.171,303.252,0.168,SPEAKER_01
688,you,303.272,303.332,0.241,SPEAKER_01
689,know,304.293,304.373,0.0,SPEAKER_01
690,what,304.393,304.473,0.038,SPEAKER_01
691,I,304.493,304.513,0.033,SPEAKER_01
692,mean?,304.533,304.634,0.117,SPEAKER_01
693,I,304.654,304.714,0.921,SPEAKER_01
694,want,304.754,304.914,0.893,SPEAKER_01
695,people,305.074,305.294,0.909,SPEAKER_01
696,to,305.314,305.375,0.526,SPEAKER_01
697,be,305.415,305.515,0.978,SPEAKER_01
698,around.,305.555,305.835,0.829,SPEAKER_01
699,We,305.895,306.096,0.779,SPEAKER_01
700,enjoy,306.196,306.496,0.909,SPEAKER_01
701,"hosting,",306.516,306.977,0.828,SPEAKER_01
702,we,306.997,307.117,0.964,SPEAKER_01
703,enjoy,307.157,307.397,0.99,SPEAKER_01
704,having,307.437,307.678,0.714,SPEAKER_01
705,people,307.718,307.958,0.784,SPEAKER_01
706,around.,308.018,308.239,0.861,SPEAKER_01
707,But,309.46,309.681,0.992,SPEAKER_01
708,I,310.081,310.141,0.581,SPEAKER_01
709,don't,310.181,310.321,0.713,SPEAKER_01
710,play,310.362,310.542,0.821,SPEAKER_01
711,about,310.582,310.762,0.982,SPEAKER_01
712,you,310.802,310.942,0.95,SPEAKER_01
713,and,310.982,311.443,0.918,SPEAKER_01
714,I'm,311.703,312.765,0.836,SPEAKER_01
715,not,312.785,312.885,0.813,SPEAKER_01
716,prepared,312.925,313.165,0.97,SPEAKER_01
717,to,313.205,313.246,0.984,SPEAKER_01
718,watch,313.286,313.486,0.466,SPEAKER_01
719,other,313.506,313.606,0.543,SPEAKER_01
720,people,313.666,313.906,0.854,SPEAKER_01
721,play,313.967,314.127,0.879,SPEAKER_01
722,around,314.187,314.407,0.957,SPEAKER_01
723,with,314.447,314.567,0.982,SPEAKER_01
724,you,314.607,314.808,0.977,SPEAKER_01
725,or,315.048,315.108,0.996,SPEAKER_01
726,your,315.148,315.248,0.786,SPEAKER_01
727,family.,315.308,315.709,0.981,SPEAKER_01
728,I,316.11,316.17,0.901,SPEAKER_01
729,won't,316.21,316.37,0.827,SPEAKER_01
730,have,316.43,316.53,0.764,SPEAKER_01
731,it.,316.63,316.69,0.998,SPEAKER_01
732,So,317.512,317.652,0.84,SPEAKER_01
733,do,317.672,317.712,0.482,SPEAKER_01
734,you,317.792,317.992,0.443,SPEAKER_01
735,know,318.012,318.293,0.443,SPEAKER_01
736,what,318.413,318.493,0.174,SPEAKER_01
737,I,318.593,318.653,0.39,SPEAKER_01
738,mean?,318.933,320.035,0.388,SPEAKER_01
739,It's,320.015,320.476,0.752,SPEAKER_01
740,a,320.496,320.516,0.72,SPEAKER_01
741,really,320.576,320.756,0.86,SPEAKER_01
742,fine,320.776,321.116,0.955,SPEAKER_01
743,line.,321.196,321.417,0.891,SPEAKER_01
744,I,321.497,321.537,0.949,SPEAKER_01
745,don't,321.577,321.697,0.702,SPEAKER_01
746,want,321.757,321.857,0.642,SPEAKER_01
747,to,321.897,321.957,0.825,SPEAKER_01
748,be,321.997,322.077,0.944,SPEAKER_01
749,the,322.117,322.177,0.982,SPEAKER_01
750,reason,322.237,322.498,0.693,SPEAKER_01
751,that,322.538,322.818,0.63,SPEAKER_01
752,people,323.419,323.659,0.861,SPEAKER_01
753,you,323.699,323.879,0.642,SPEAKER_01
754,love,323.939,324.2,0.958,SPEAKER_01
755,"leave,",324.6,325.461,0.59,SPEAKER_01
756,if,325.481,325.561,0.6,SPEAKER_01
757,that,325.601,325.701,0.913,SPEAKER_01
758,makes,325.741,325.882,0.793,SPEAKER_01
759,sense.,325.922,326.182,0.955,SPEAKER_01
760,But,326.682,326.803,0.956,SPEAKER_01
761,"yeah,",326.823,327.583,0.822,SPEAKER_01
762,that's,327.924,328.084,0.872,SPEAKER_01
763,a,328.144,328.164,0.503,SPEAKER_01
764,fear,328.224,328.424,0.674,SPEAKER_01
765,of,328.484,328.525,0.99,SPEAKER_01
766,mine.,328.585,328.765,0.376,SPEAKER_01
767,I'm,328.785,328.845,0.074,SPEAKER_01
768,"like,",328.865,329.005,0.485,SPEAKER_01
769,I,329.025,329.065,0.981,SPEAKER_01
770,don't,329.105,329.245,0.823,SPEAKER_01
771,ever,329.345,329.506,0.962,SPEAKER_01
772,want,329.546,329.706,0.809,SPEAKER_01
773,to,329.726,329.766,0.489,SPEAKER_01
774,impose,331.448,331.828,0.933,SPEAKER_01
775,my,331.928,332.089,0.952,SPEAKER_01
776,moral,332.149,332.389,0.849,SPEAKER_01
777,system,332.449,332.749,0.94,SPEAKER_01
778,on,332.849,332.929,0.915,SPEAKER_01
779,you.,332.949,333.15,0.759,SPEAKER_01
780,I,333.17,333.19,0.971,SPEAKER_01
781,want,333.21,333.31,0.69,SPEAKER_01
782,you,333.35,333.43,0.983,SPEAKER_01
783,to,333.47,333.51,0.978,SPEAKER_01
784,always,333.63,333.871,0.822,SPEAKER_01
785,have,333.931,334.031,0.998,SPEAKER_01
786,your,334.071,334.211,0.964,SPEAKER_01
787,"own,",334.291,334.411,0.941,SPEAKER_01
788,have,334.471,334.571,0.997,SPEAKER_01
789,your,334.591,334.711,0.807,SPEAKER_01
790,own,334.772,334.872,0.841,SPEAKER_01
791,identity.,334.932,335.492,0.964,SPEAKER_01
792,Yeah.,336.393,337.114,0.368,SPEAKER_01
793,That's,339.757,339.897,0.737,SPEAKER_01
794,a,339.957,340.017,0.802,SPEAKER_01
795,set,340.077,340.278,0.576,SPEAKER_01
796,of,340.298,340.378,0.62,SPEAKER_01
797,answers.,340.518,342.36,0.64,SPEAKER_01
798,When,353.326,353.486,0.606,SPEAKER_01
799,was,353.526,353.606,0.812,SPEAKER_01
800,the,353.646,353.706,0.893,SPEAKER_01
801,last,353.746,353.907,0.725,SPEAKER_01
802,time,353.967,354.127,0.6,SPEAKER_01
803,you,354.167,354.307,0.776,SPEAKER_01
804,were,354.327,354.507,0.714,SPEAKER_01
805,worried,354.547,354.848,0.849,SPEAKER_01
806,about,354.928,355.168,0.992,SPEAKER_01
807,me,355.208,355.308,0.891,SPEAKER_01
808,and,356.209,356.41,0.868,SPEAKER_01
809,why?,356.81,357.11,0.877,SPEAKER_01
810,I'll,371.487,371.627,0.467,SPEAKER_01
811,start,371.667,371.968,0.593,SPEAKER_01
812,off,371.988,372.128,0.558,SPEAKER_01
813,by,372.188,372.308,0.992,SPEAKER_01
814,saying,372.388,372.789,0.654,SPEAKER_01
815,I,372.809,372.829,0.997,SPEAKER_01
816,haven't,374.35,374.611,0.911,SPEAKER_01
817,been,374.631,374.771,0.97,SPEAKER_01
818,worried,374.831,375.071,0.865,SPEAKER_01
819,about,375.111,375.312,0.887,SPEAKER_01
820,you,375.352,375.512,0.876,SPEAKER_01
821,in,375.532,375.572,0.498,SPEAKER_01
822,a,376.052,376.072,0.001,SPEAKER_01
823,really,376.093,376.273,0.506,SPEAKER_01
824,long,376.313,376.473,0.895,SPEAKER_01
825,time.,376.533,376.974,0.889,SPEAKER_01
826,"Oh,",376.994,377.334,0.594,SPEAKER_01
827,great.,377.414,377.774,0.879,SPEAKER_01
828,"Yeah,",377.955,378.235,0.608,SPEAKER_01
829,which,379.156,379.316,0.989,SPEAKER_01
830,is,379.376,379.436,0.71,SPEAKER_01
831,wonderful.,379.476,380.818,0.873,SPEAKER_01
832,I,381.423,381.723,0.799,SPEAKER_01
833,am,381.743,381.824,0.928,SPEAKER_01
834,naturally,381.904,382.324,0.836,SPEAKER_01
835,a,382.404,382.464,0.923,SPEAKER_01
836,"worrier,",382.565,383.005,0.946,SPEAKER_01
837,so,383.906,384.067,0.818,SPEAKER_01
838,the,385.028,385.108,0.989,SPEAKER_01
839,fact,385.148,385.268,0.902,SPEAKER_01
840,that,385.288,385.368,0.445,SPEAKER_01
841,I,385.408,385.428,0.029,SPEAKER_01
842,haven't,385.468,385.849,0.656,SPEAKER_01
843,worried,385.889,386.169,0.881,SPEAKER_01
844,about,386.209,386.45,0.99,SPEAKER_01
845,you,386.49,386.73,0.685,SPEAKER_01
846,is,386.77,386.81,0.498,SPEAKER_01
847,a,388.332,388.352,0.187,SPEAKER_01
848,really,388.412,388.593,0.764,SPEAKER_01
849,good,388.633,388.773,0.92,SPEAKER_01
850,thing.,388.833,389.073,0.958,SPEAKER_01
851,I,397.825,397.885,0.989,
852,think,398.025,398.386,0.95,SPEAKER_01
853,this,401.349,401.51,0.988,SPEAKER_01
854,was,401.55,401.67,0.83,SPEAKER_01
855,a,401.73,401.75,0.953,SPEAKER_01
856,long,401.81,401.97,0.954,SPEAKER_01
857,time,402.03,402.271,0.901,SPEAKER_01
858,"ago,",402.331,402.591,0.967,SPEAKER_01
859,but,402.631,402.711,0.562,SPEAKER_01
860,I,402.791,402.851,0.894,SPEAKER_01
861,think,402.912,403.152,0.946,SPEAKER_01
862,it,403.432,403.492,0.964,SPEAKER_01
863,was,403.532,403.652,0.862,SPEAKER_01
864,when,403.693,403.853,0.871,SPEAKER_01
865,you,403.913,406.536,0.969,SPEAKER_01
866,told,406.576,406.717,0.62,SPEAKER_01
867,me,406.757,406.837,0.973,SPEAKER_01
868,you,406.857,406.957,0.108,SPEAKER_01
869,felt,406.997,407.257,0.593,SPEAKER_01
870,suicidal.,407.277,407.818,0.545,SPEAKER_01
871,I,411.072,411.212,0.826,SPEAKER_01
872,"mean,",411.232,411.352,0.545,SPEAKER_01
873,that's,411.392,411.532,0.492,SPEAKER_01
874,fair.,411.552,412.593,0.687,SPEAKER_01
875,Yeah.,412.613,413.574,0.695,SPEAKER_01
876,Yeah.,413.594,413.715,0.457,SPEAKER_01
877,And,413.815,413.935,0.695,SPEAKER_01
878,I,414.095,414.215,0.77,SPEAKER_01
879,know,414.515,414.595,0.24,SPEAKER_01
880,this,415.576,415.736,0.961,SPEAKER_01
881,"feeling,",415.877,416.237,0.859,SPEAKER_01
882,that,416.297,417.078,0.839,SPEAKER_01
883,feeling,417.158,417.478,0.876,SPEAKER_01
884,for,417.518,417.638,0.904,SPEAKER_01
885,you,417.698,417.879,0.8,SPEAKER_01
886,was,418.619,418.759,0.863,SPEAKER_01
887,not,418.799,418.94,0.708,SPEAKER_01
888,"new,",419.02,419.3,0.851,SPEAKER_01
889,as,419.92,420.001,0.934,SPEAKER_01
890,in,420.101,420.201,0.986,SPEAKER_01
891,before,421.442,421.922,0.907,SPEAKER_01
892,"me,",422.002,422.183,0.987,SPEAKER_01
893,before,422.283,422.563,0.837,SPEAKER_01
894,our,422.623,422.683,0.357,SPEAKER_01
895,"relationship,",422.723,424.285,0.759,SPEAKER_01
896,"that's,",424.305,425.286,0.83,SPEAKER_01
897,you,425.306,425.406,0.776,SPEAKER_01
898,"know,",425.446,425.646,0.876,SPEAKER_01
899,been,427.368,427.528,0.548,SPEAKER_01
900,a,427.548,427.588,0.663,SPEAKER_01
901,part,427.628,427.828,0.57,SPEAKER_01
902,of,427.848,427.888,0.05,SPEAKER_01
903,your,427.908,427.988,0.245,SPEAKER_01
904,life,428.028,428.228,0.582,SPEAKER_01
905,of,428.288,428.349,0.829,SPEAKER_01
906,some,428.389,428.609,0.939,SPEAKER_01
907,sort.,428.709,430.791,0.943,SPEAKER_01
908,So,430.811,431.311,0.881,SPEAKER_01
909,when,431.391,434.414,0.919,SPEAKER_01
910,I,434.454,434.514,0.853,SPEAKER_01
911,was,434.554,434.615,0.873,SPEAKER_01
912,"like,",434.675,434.855,0.552,SPEAKER_01
913,I,435.936,435.996,0.988,SPEAKER_01
914,was,436.036,436.176,0.933,SPEAKER_01
915,really,436.216,436.897,0.864,SPEAKER_01
916,worried,436.957,437.357,0.889,SPEAKER_01
917,about,437.397,437.938,0.841,SPEAKER_01
918,"you,",437.978,438.278,0.654,SPEAKER_01
919,in,438.933,439.093,0.908,SPEAKER_01
920,that,439.133,439.294,0.865,SPEAKER_01
921,moment,439.354,439.795,0.962,SPEAKER_01
922,because,441.918,442.439,0.776,SPEAKER_01
923,I,442.459,442.479,0.999,SPEAKER_01
924,think,447.248,447.509,0.993,SPEAKER_01
925,I,451.215,451.336,0.874,SPEAKER_01
926,still,451.376,453.94,0.986,SPEAKER_01
927,to,453.96,454.081,0.76,SPEAKER_01
928,this,454.101,454.241,0.736,SPEAKER_01
929,day,454.301,454.501,0.911,SPEAKER_01
930,hold,454.541,454.842,0.544,SPEAKER_01
931,so,454.902,455.042,0.998,SPEAKER_01
932,much,455.102,455.243,0.936,SPEAKER_01
933,hope,455.323,455.583,0.806,SPEAKER_01
934,for,455.603,455.724,0.857,SPEAKER_01
935,like,455.784,456.044,0.983,SPEAKER_01
936,living,456.545,456.986,0.878,SPEAKER_01
937,and,457.146,457.246,0.844,SPEAKER_01
938,purpose,457.346,458.148,0.918,SPEAKER_01
939,and,458.168,458.308,0.774,SPEAKER_01
940,fulfilling,459.17,459.611,0.859,SPEAKER_01
941,your,459.671,459.791,0.9,SPEAKER_01
942,purpose,459.871,460.272,0.953,SPEAKER_01
943,on,460.352,460.432,0.58,SPEAKER_01
944,this,460.452,460.813,0.695,SPEAKER_01
945,earth,460.833,461.073,0.799,SPEAKER_01
946,and,461.214,462.055,0.954,SPEAKER_01
947,loving,462.676,463.237,0.888,SPEAKER_01
948,people,463.337,463.677,0.8,SPEAKER_01
949,and,463.777,463.858,0.796,SPEAKER_01
950,community,463.938,464.699,0.93,SPEAKER_01
951,like,464.779,464.979,0.942,SPEAKER_01
952,you,464.999,465.139,0.778,SPEAKER_01
953,said,465.199,465.68,0.921,SPEAKER_01
954,and,465.78,465.86,0.878,SPEAKER_01
955,like,465.92,466.181,0.957,SPEAKER_01
956,so,466.822,466.942,0.874,SPEAKER_01
957,I've,467.002,467.162,0.808,SPEAKER_01
958,always,467.282,467.563,0.768,SPEAKER_01
959,seen,467.643,467.883,0.711,SPEAKER_01
960,that,467.923,468.143,0.924,SPEAKER_01
961,and,468.223,468.304,0.714,SPEAKER_01
962,I,468.344,468.364,0.998,SPEAKER_01
963,think,468.404,468.544,0.889,SPEAKER_01
964,it's,468.584,468.704,0.845,SPEAKER_01
965,been,469.125,469.265,0.799,SPEAKER_01
966,helpful,469.325,469.665,0.923,SPEAKER_01
967,that,469.725,469.846,0.579,SPEAKER_01
968,I've,469.886,470.126,0.619,SPEAKER_01
969,sort,470.146,470.326,0.529,SPEAKER_01
970,of,470.346,470.386,0.498,SPEAKER_01
971,grown,470.406,470.667,0.859,SPEAKER_01
972,up,470.727,470.787,0.952,SPEAKER_01
973,with,470.827,470.927,0.918,SPEAKER_01
974,a,471.007,471.047,0.905,SPEAKER_01
975,family,471.087,471.388,0.91,SPEAKER_01
976,that,471.448,471.628,0.974,SPEAKER_01
977,have,472.329,472.489,0.972,SPEAKER_01
978,those,472.529,472.689,0.891,SPEAKER_01
979,same,472.73,472.93,0.956,SPEAKER_01
980,opinions,472.97,474.232,0.764,SPEAKER_01
981,and,474.312,474.652,0.444,SPEAKER_01
982,that,474.672,474.812,0.85,SPEAKER_01
983,view,474.892,475.253,0.835,SPEAKER_01
984,on,475.333,475.413,0.915,SPEAKER_01
985,the,475.453,475.513,0.997,SPEAKER_01
986,world,475.553,475.974,0.712,SPEAKER_01
987,and,475.994,476.054,0.331,SPEAKER_01
988,I,477.736,477.756,0.986,SPEAKER_01
989,think,477.836,478.057,0.92,SPEAKER_01
990,for,478.778,478.918,0.893,SPEAKER_01
991,you,478.978,479.098,0.467,SPEAKER_01
992,to,479.138,479.178,0.79,SPEAKER_01
993,get,479.198,479.378,0.96,SPEAKER_01
994,to,479.439,479.519,0.95,SPEAKER_01
995,such,479.579,479.779,0.847,SPEAKER_01
996,a,479.839,479.859,0.995,SPEAKER_01
997,low,479.939,480.2,0.922,SPEAKER_01
998,point,480.48,480.66,0.67,SPEAKER_01
999,where,480.7,481.301,0.316,SPEAKER_01
1000,you're,481.341,481.481,0.546,SPEAKER_01
1001,like,481.501,481.742,0.918,SPEAKER_01
1002,there's,482.463,482.643,0.814,SPEAKER_01
1003,nothing,482.723,483.123,0.885,SPEAKER_01
1004,you,483.644,483.744,0.658,SPEAKER_01
1005,know,483.784,484.085,0.759,SPEAKER_01
1006,made,485.787,485.967,0.614,SPEAKER_01
1007,me,485.987,486.067,0.762,SPEAKER_01
1008,really,486.107,486.348,0.628,SPEAKER_01
1009,sad,486.768,487.249,0.866,SPEAKER_01
1010,"Yeah,",494.266,494.747,0.562,SPEAKER_01
1011,it,494.767,494.827,0.889,SPEAKER_01
1012,made,494.847,494.987,0.62,SPEAKER_01
1013,me,495.007,495.067,0.893,SPEAKER_01
1014,really,495.107,495.347,0.685,SPEAKER_01
1015,"sad,",495.407,495.788,0.747,SPEAKER_01
1016,because,495.848,496.309,0.865,SPEAKER_01
1017,I,496.329,496.349,0.998,SPEAKER_01
1018,was,497.37,497.53,0.697,SPEAKER_01
1019,"like,",497.57,497.69,0.35,SPEAKER_01
1020,there's,497.71,497.851,0.26,SPEAKER_01
1021,so,497.951,498.171,0.938,SPEAKER_01
1022,much,498.271,498.532,0.866,SPEAKER_01
1023,life,498.712,499.012,0.827,SPEAKER_01
1024,for,499.753,500.174,0.219,SPEAKER_01
1025,you,500.194,500.254,0.001,SPEAKER_01
1026,to,500.274,500.314,0.062,SPEAKER_01
1027,live.,500.334,500.474,0.302,SPEAKER_01
1028,"Like,",501.455,501.676,0.306,SPEAKER_01
1029,I,501.696,501.776,0.91,SPEAKER_01
1030,can,501.816,502.016,0.954,SPEAKER_01
1031,see,502.096,502.316,0.925,SPEAKER_01
1032,it.,502.417,502.477,0.801,SPEAKER_01
1033,And,502.997,503.077,0.682,SPEAKER_01
1034,I,503.638,503.698,0.873,SPEAKER_01
1035,guess,503.738,503.919,0.835,SPEAKER_01
1036,in,503.939,503.999,0.865,SPEAKER_01
1037,that,504.039,504.119,0.846,SPEAKER_01
1038,"moment,",504.199,504.459,0.967,SPEAKER_01
1039,I,504.539,504.64,0.774,SPEAKER_01
1040,felt,504.68,504.78,0.357,SPEAKER_01
1041,like,504.8,505.04,0.907,SPEAKER_01
1042,it,505.3,505.36,0.227,SPEAKER_01
1043,didn't,505.38,505.561,0.509,SPEAKER_01
1044,matter,505.641,506.041,0.773,SPEAKER_01
1045,how,506.182,506.362,0.597,SPEAKER_01
1046,much,506.422,506.702,0.821,SPEAKER_01
1047,I,507.443,507.543,0.984,SPEAKER_01
1048,saw,507.623,507.904,0.873,SPEAKER_01
1049,it.,508.064,508.204,0.792,SPEAKER_01
1050,I,516.215,516.295,0.843,SPEAKER_01
1051,wanted,516.315,516.555,0.517,SPEAKER_01
1052,you,516.635,516.755,0.907,SPEAKER_01
1053,to,516.795,516.875,0.922,SPEAKER_01
1054,see,516.936,517.136,0.88,SPEAKER_01
1055,it,517.196,517.236,0.742,SPEAKER_01
1056,for,517.316,517.396,0.977,SPEAKER_01
1057,yourself.,517.436,517.937,0.856,SPEAKER_01
1058,So...,519.939,524.205,0.86,SPEAKER_01
1059,"Yeah,",526.244,527.625,0.664,SPEAKER_01
1060,that,528.466,528.626,0.931,SPEAKER_01
1061,time.,528.686,528.966,0.98,SPEAKER_01
1062,But,529.627,529.807,0.87,SPEAKER_01
1063,thank,529.907,530.107,0.859,SPEAKER_01
1064,"God,",530.168,530.388,0.97,SPEAKER_01
1065,it's,530.688,530.828,0.867,SPEAKER_01
1066,been,530.868,531.028,0.842,SPEAKER_01
1067,a,531.088,531.108,0.923,SPEAKER_01
1068,really,531.168,531.369,0.906,SPEAKER_01
1069,long,531.409,531.629,0.654,SPEAKER_01
1070,time.,531.649,531.969,0.899,SPEAKER_01
1071,"Also,",532.81,533.23,0.813,SPEAKER_01
1072,as,534.151,534.231,0.826,SPEAKER_01
1073,I'm,534.291,534.411,0.736,SPEAKER_01
1074,"aware,",534.471,534.792,0.925,SPEAKER_01
1075,you,535.012,535.092,0.958,SPEAKER_01
1076,haven't,535.132,535.352,0.917,SPEAKER_01
1077,said,535.432,535.612,0.884,SPEAKER_00
1078,anything,535.713,536.133,0.914,SPEAKER_01
1079,since.,536.233,536.593,0.941,SPEAKER_01
1080,We're,537.474,537.614,0.392,SPEAKER_01
1081,good.,537.634,538.255,0.819,SPEAKER_01
1082,We're,538.275,538.435,0.392,SPEAKER_01
1083,"good,",538.455,538.835,0.434,SPEAKER_01
1084,great.,538.855,539.316,0.607,SPEAKER_01
1085,"So,",539.616,539.936,0.866,SPEAKER_01
1086,yeah.,540.557,540.817,0.577,SPEAKER_01
1087,Okay.,552.688,552.788,0.0,
